population,full
37689,"cass, indiana"
12836,"cass, iowa"
51787,"cass, michigan"
29779,"cass, minnesota"
105780,"cass, missouri"
26248,"cass, nebraska"
181923,"cass, north dakota"
30026,"cass, texas"
24030,"cassia, idaho"
7530,"castro, texas"
22604,"caswell, north carolina"
9494,"catahoula, louisiana"
159551,"catawba, north carolina"
67580,"catoosa, georgia"
3527,"catron, new mexico"
76117,"cattaraugus, new york"
3762,"cavalier, north dakota"
76576,"cayuga, new york"
102855,"cecil, maryland"
18627,"cedar, iowa"
14349,"cedar, missouri"
8402,"cedar, nebraska"
162385,"centre, pennsylvania"
42450,"cerro gordo, iowa"
20356,"chaffee, colorado"
33254,"chambers, alabama"
43837,"chambers, texas"
209689,"champaign, illinois"
38885,"champaign, ohio"
7426,"chariton, missouri"
6963,"charles city, virginia"
9292,"charles mix, south dakota"
163257,"charles, maryland"
411406,"charleston, south carolina"
26143,"charlevoix, michigan"
188910,"charlotte, florida"
11880,"charlotte, virginia"
47266,"charlottesville, virginia"
13392,"charlton, georgia"
2648,"chase, kansas"
3924,"chase, nebraska"
289430,"chatham, georgia"
74470,"chatham, north carolina"
10907,"chattahoochee, georgia"
24789,"chattooga, georgia"
3250,"chautauqua, kansas"
126903,"chautauqua, new york"
64615,"chaves, new mexico"
40667,"cheatham, tennessee"
25276,"cheboygan, michigan"
77200,"chelan, washington"
83456,"chemung, new york"
47207,"chenango, new york"
26196,"cherokee, alabama"
258773,"cherokee, georgia"
11235,"cherokee, iowa"
19939,"cherokee, kansas"
28612,"cherokee, north carolina"
48657,"cherokee, oklahoma"
57300,"cherokee, south carolina"
52646,"cherokee, texas"
5689,"cherry, nebraska"
244835,"chesapeake, virginia"
76085,"cheshire, new hampshire"
524989,"chester, pennsylvania"
32244,"chester, south carolina"
17297,"chester, tennessee"
45650,"chesterfield, south carolina"
352802,"chesterfield, virginia"
1831,"cheyenne, colorado"
2657,"cheyenne, kansas"
8910,"cheyenne, nebraska"
11933,"chickasaw, iowa"
17103,"chickasaw, mississippi"
10118,"chicot, arkansas"
7306,"childress, texas"
44428,"chilton, alabama"
37349,"chippewa, michigan"
11800,"chippewa, minnesota"
64658,"chippewa, wisconsin"
56579,"chisago, minnesota"
163774,"chittenden, vermont"
12589,"choctaw, alabama"
8210,"choctaw, mississippi"
14672,"choctaw, oklahoma"
5635,"chouteau, montana"
13943,"chowan, north carolina"
32304,"christian, illinois"
70461,"christian, kentucky"
88595,"christian, missouri"
24909,"churchill, nevada"
26675,"cibola, new mexico"
2137,"cimarron, oklahoma"
149657,"citrus, florida"
418187,"clackamas, oregon"
15670,"claiborne, louisiana"
8988,"claiborne, mississippi"
31959,"claiborne, tennessee"
77331,"clallam, washington"
30950,"clare, michigan"
33745,"clarendon, south carolina"
38438,"clarion, pennsylvania"
22320,"clark, arkansas"
845,"clark, idaho"
15441,"clark, illinois"
118302,"clark, indiana"
1994,"clark, kansas"
36263,"clark, kentucky"
6797,"clark, missouri"
2266715,"clark, nevada"
134083,"clark, ohio"
3736,"clark, south dakota"
488241,"clark, washington"
34774,"clark, wisconsin"
23622,"clarke, alabama"
128331,"clarke, georgia"
9395,"clarke, iowa"
15541,"clarke, mississippi"
14619,"clarke, virginia"
40224,"clatsop, oregon"
13235,"clay, alabama"
14551,"clay, arkansas"
219252,"clay, florida"
2834,"clay, georgia"
13184,"clay, illinois"
26225,"clay, indiana"
16016,"clay, iowa"
8002,"clay, kansas"
19901,"clay, kentucky"
64222,"clay, minnesota"
19316,"clay, mississippi"
249948,"clay, missouri"
6203,"clay, nebraska"
11231,"clay, north carolina"
14070,"clay, south dakota"
7615,"clay, tennessee"
10471,"clay, texas"
8508,"clay, west virginia"
292256,"clayton, georgia"
17549,"clayton, iowa"
9700,"clear creek, colorado"
79255,"clearfield, pennsylvania"
8756,"clearwater, idaho"
8818,"clearwater, minnesota"
14910,"cleburne, alabama"
24919,"cleburne, arkansas"
206428,"clermont, ohio"
7956,"cleveland, arkansas"
97947,"cleveland, north carolina"
284014,"cleveland, oklahoma"
6618,"clinch, georgia"
37562,"clinton, illinois"
32399,"clinton, indiana"
46429,"clinton, iowa"
10218,"clinton, kentucky"
79595,"clinton, michigan"
20387,"clinton, missouri"
80485,"clinton, new york"
41968,"clinton, ohio"
38632,"clinton, pennsylvania"
8786,"cloud, kansas"
22124,"coahoma, mississippi"
5495,"coal, oklahoma"
760141,"cobb, georgia"
125922,"cochise, arizona"
2853,"cochran, texas"
36004,"cocke, tennessee"
143476,"coconino, arizona"
28009,"codington, south dakota"
52342,"coffee, alabama"
43273,"coffee, georgia"
56520,"coffee, tennessee"
8179,"coffey, kansas"
3387,"coke, texas"
55241,"colbert, alabama"
76745,"cole, missouri"
8175,"coleman, texas"
50621,"coles, illinois"
10709,"colfax, nebraska"
11941,"colfax, new mexico"
37677,"colleton, south carolina"
384902,"collier, florida"
1034730,"collin, texas"
2920,"collingsworth, texas"
17370,"colonial heights, virginia"
21493,"colorado, texas"
45600,"colquitt, georgia"
23457,"columbia, arkansas"
71686,"columbia, florida"
156714,"columbia, georgia"
59461,"columbia, new york"
52354,"columbia, oregon"
64964,"columbia, pennsylvania"
3985,"columbia, washington"
57532,"columbia, wisconsin"
101883,"columbiana, ohio"
55508,"columbus, north carolina"
21547,"colusa, california"
156209,"comal, texas"
1700,"comanche, kansas"
120749,"comanche, oklahoma"
13635,"comanche, texas"
2726,"concho, texas"
19259,"concordia, louisiana"
12067,"conecuh, alabama"
8205,"conejos, colorado"
1153526,"contra costa, california"
13822,"converse, wyoming"
20846,"conway, arkansas"
17270,"cook, georgia"
5150233,"cook, illinois"
5463,"cook, minnesota"
41257,"cooke, texas"
17709,"cooper, missouri"
31563,"coos, new hampshire"
64487,"coos, oregon"
10663,"coosa, alabama"
28065,"copiah, mississippi"
4086,"corson, south dakota"
47581,"cortland, new york"
75951,"coryell, texas"
36600,"coshocton, ohio"
3887,"costilla, colorado"
1398,"cottle, texas"
5666,"cotton, oklahoma"
11196,"cottonwood, minnesota"
37049,"covington, alabama"
18636,"covington, mississippi"
5538,"covington, virginia"
148509,"coweta, georgia"
34908,"cowley, kansas"
110593,"cowlitz, washington"
14142,"craig, oklahoma"
5131,"craig, virginia"
110332,"craighead, arkansas"
4797,"crane, texas"
102139,"craven, north carolina"
63257,"crawford, arkansas"
12404,"crawford, georgia"
18667,"crawford, illinois"
10577,"crawford, indiana"
16820,"crawford, iowa"
38818,"crawford, kansas"
14029,"crawford, michigan"
23920,"crawford, missouri"
41494,"crawford, ohio"
84629,"crawford, pennsylvania"
16131,"crawford, wisconsin"
71522,"creek, oklahoma"
13772,"crenshaw, alabama"
22372,"crisp, georgia"
47955,"crittenden, arkansas"
8806,"crittenden, kentucky"
14230,"crockett, tennessee"
3464,"crockett, texas"
24404,"crook, oregon"
7584,"crook, wyoming"
5737,"crosby, texas"
16419,"cross, arkansas"
65055,"crow wing, minnesota"
6061,"crowley, colorado"
2171,"culberson, texas"
83768,"cullman, alabama"
52605,"culpeper, virginia"
10766,"cumberland, illinois"
6614,"cumberland, kentucky"
295003,"cumberland, maine"
149527,"cumberland, new jersey"
335509,"cumberland, north carolina"
253370,"cumberland, pennsylvania"
60520,"cumberland, tennessee"
9932,"cumberland, virginia"
8846,"cuming, nebraska"
27763,"currituck, north carolina"
48954,"curry, new mexico"
22925,"curry, oregon"
5068,"custer, colorado"
4315,"custer, idaho"
11402,"custer, montana"
10777,"custer, nebraska"
29003,"custer, oklahoma"
8972,"custer, south dakota"
1235072,"cuyahoga, ohio"
16116,"dade, georgia"
7561,"dade, missouri"
950,"daggett, utah"
429021,"dakota, minnesota"
20026,"dakota, nebraska"
49172,"dale, alabama"
7287,"dallam, texas"
37196,"dallas, alabama"
7009,"dallas, arkansas"
93453,"dallas, iowa"
16878,"dallas, missouri"
2635516,"dallas, texas"
546695,"dane, wisconsin"
1690,"daniels, montana"
40044,"danville, virginia"
37009,"dare, north carolina"
51113,"darke, ohio"
66618,"darlington, south carolina"
278299,"dauphin, pennsylvania"
167609,"davidson, north carolina"
694144,"davidson, tennessee"
42846,"davie, north carolina"
33351,"daviess, indiana"
101511,"daviess, kentucky"
8278,"daviess, missouri"
9000,"davis, iowa"
355481,"davis, utah"
19775,"davison, south dakota"
8589,"dawes, nebraska"
26108,"dawson, georgia"
8613,"dawson, montana"
23595,"dawson, nebraska"
12728,"dawson, texas"
5424,"day, south dakota"
1748,"de baca, new mexico"
27463,"de soto, louisiana"
15638,"de witt, illinois"
18546,"deaf smith, texas"
49458,"dearborn, indiana"
26404,"decatur, georgia"
26559,"decatur, indiana"
7870,"decatur, iowa"
2827,"decatur, kansas"
11663,"decatur, tennessee"
9140,"deer lodge, montana"
38087,"defiance, ohio"
71513,"dekalb, alabama"
759297,"dekalb, georgia"
104897,"dekalb, illinois"
43475,"dekalb, indiana"
12547,"dekalb, missouri"
20490,"dekalb, tennessee"
27812,"del norte, california"
114135,"delaware, indiana"
17011,"delaware, iowa"
44135,"delaware, new york"
209177,"delaware, ohio"
43009,"delaware, oklahoma"
566747,"delaware, pennsylvania"
31162,"delta, colorado"
35784,"delta, michigan"
5331,"delta, texas"
2097,"denali, alaska"
15573,"dent, missouri"
887207,"denton, texas"
727211,"denver, colorado"
38967,"des moines, iowa"
197692,"deschutes, oregon"
11361,"desha, arkansas"
38001,"desoto, florida"
184945,"desoto, mississippi"
1794,"deuel, nebraska"
4351,"deuel, south dakota"
4891,"dewey, oklahoma"
5892,"dewey, south dakota"
20160,"dewitt, texas"
2211,"dickens, texas"
14318,"dickenson, virginia"
4872,"dickey, north dakota"
17258,"dickinson, iowa"
18466,"dickinson, kansas"
25239,"dickinson, michigan"
53948,"dickson, tennessee"
30479,"dillon, south carolina"
10124,"dimmit, texas"
28544,"dinwiddie, virginia"
2264,"divide, north dakota"
16826,"dixie, florida"
5636,"dixon, nebraska"
8448,"doddridge, west virginia"
20605,"dodge, georgia"
20934,"dodge, minnesota"
36565,"dodge, nebraska"
87839,"dodge, wisconsin"
2055,"dolores, colorado"
7600,"doniphan, kansas"
3278,"donley, texas"
13390,"dooly, georgia"
27668,"door, wisconsin"
31929,"dorchester, maryland"
162809,"dorchester, south carolina"
87956,"dougherty, georgia"
351154,"douglas, colorado"
146343,"douglas, georgia"
19465,"douglas, illinois"
122259,"douglas, kansas"
38141,"douglas, minnesota"
13185,"douglas, missouri"
571327,"douglas, nebraska"
48905,"douglas, nevada"
110980,"douglas, oregon"
2921,"douglas, south dakota"
43429,"douglas, washington"
43150,"douglas, wisconsin"
218195,"doã±a ana, new mexico"
18219,"drew, arkansas"
42736,"dubois, indiana"
97311,"dubuque, iowa"
19938,"duchesne, utah"
17332,"dukes, massachusetts"
1693,"dundy, nebraska"
29131,"dunklin, missouri"
4424,"dunn, north dakota"
45368,"dunn, wisconsin"
922921,"dupage, illinois"
58741,"duplin, north carolina"
321488,"durham, north carolina"
294218,"dutchess, new york"
957755,"duval, florida"
11157,"duval, texas"
37159,"dyer, tennessee"
55127,"eagle, colorado"
10190,"early, georgia"
440059,"east baton rouge, louisiana"
6861,"east carroll, louisiana"
19135,"east feliciana, louisiana"
18360,"eastland, texas"
110268,"eaton, michigan"
104646,"eau claire, wisconsin"
4006,"echols, georgia"
166223,"ector, texas"
58460,"eddy, new mexico"
2287,"eddy, north dakota"
17161,"edgar, illinois"
51472,"edgecombe, north carolina"
27260,"edgefield, south carolina"
12150,"edmonson, kentucky"
3829,"edmunds, south dakota"
6395,"edwards, illinois"
2798,"edwards, kansas"
1932,"edwards, texas"
64296,"effingham, georgia"
34008,"effingham, illinois"
192843,"el dorado, california"
720403,"el paso, colorado"
839238,"el paso, texas"
26729,"elbert, colorado"
19194,"elbert, georgia"
2530,"elk, kansas"
29910,"elk, pennsylvania"
206341,"elkhart, indiana"
52778,"elko, nevada"
7517,"elliott, kentucky"
28553,"ellis, kansas"
3859,"ellis, oklahoma"
184826,"ellis, texas"
6102,"ellsworth, kansas"
81209,"elmore, alabama"
27511,"elmore, idaho"
22646,"emanuel, georgia"
10012,"emery, utah"
9208,"emmet, iowa"
33415,"emmet, michigan"
3241,"emmons, north dakota"
5346,"emporia, virginia"
42698,"erath, texas"
918702,"erie, new york"
74266,"erie, ohio"
269728,"erie, pennsylvania"
36633,"escambia, alabama"
318316,"escambia, florida"
873,"esmeralda, nevada"
789034,"essex, massachusetts"
798975,"essex, new jersey"
36885,"essex, new york"
6163,"essex, vermont"
10953,"essex, virginia"
14106,"estill, kentucky"
102268,"etowah, alabama"
2029,"eureka, nevada"
33395,"evangeline, louisiana"
10654,"evans, georgia"
96849,"fairbanks north star, alaska"
24019,"fairfax, virginia"
1147532,"fairfax, virginia"
943332,"fairfield, connecticut"
157574,"fairfield, ohio"
22347,"fairfield, south carolina"
6713,"fall river, south dakota"
2846,"fallon, montana"
14617,"falls church, virginia"
17297,"falls, texas"
26188,"fannin, georgia"
35514,"fannin, texas"
13653,"faribault, minnesota"
2299,"faulk, south dakota"
126007,"faulkner, arkansas"
71222,"fauquier, virginia"
16302,"fayette, alabama"
114421,"fayette, georgia"
21336,"fayette, illinois"
23102,"fayette, indiana"
19650,"fayette, iowa"
323152,"fayette, kentucky"
28525,"fayette, ohio"
129274,"fayette, pennsylvania"
41133,"fayette, tennessee"
25346,"fayette, texas"
42406,"fayette, west virginia"
18523,"fentress, tennessee"
11050,"fergus, montana"
7627,"ferry, washington"
21067,"fillmore, minnesota"
5462,"fillmore, nebraska"
36467,"finney, kansas"
3830,"fisher, texas"
115081,"flagler, florida"
103806,"flathead, montana"
14581,"fleming, kentucky"
138293,"florence, south carolina"
4295,"florence, wisconsin"
98498,"floyd, georgia"
78522,"floyd, indiana"
15642,"floyd, iowa"
35589,"floyd, kentucky"
5712,"floyd, texas"
15749,"floyd, virginia"
27270,"fluvanna, virginia"
1155,"foard, texas"
103403,"fond du lac, wisconsin"
12961,"ford, illinois"
33619,"ford, kansas"
7247,"forest, pennsylvania"
9004,"forest, wisconsin"
74897,"forrest, mississippi"
244252,"forsyth, georgia"
382295,"forsyth, north carolina"
811688,"fort bend, texas"
3210,"foster, north dakota"
16346,"fountain, indiana"
31362,"franklin, alabama"
17715,"franklin, arkansas"
12125,"franklin, florida"
23349,"franklin, georgia"
13876,"franklin, idaho"
38469,"franklin, illinois"
22758,"franklin, indiana"
10070,"franklin, iowa"
25544,"franklin, kansas"
50991,"franklin, kentucky"
20015,"franklin, louisiana"
30199,"franklin, maine"
70180,"franklin, massachusetts"
7713,"franklin, mississippi"
103967,"franklin, missouri"
2979,"franklin, nebraska"
50022,"franklin, new york"
69685,"franklin, north carolina"
1316756,"franklin, ohio"
155027,"franklin, pennsylvania"
42208,"franklin, tennessee"
10725,"franklin, texas"
49402,"franklin, vermont"
7967,"franklin, virginia"
56042,"franklin, virginia"
95222,"franklin, washington"
259547,"frederick, maryland"
89313,"frederick, virginia"
29036,"fredericksburg, virginia"
30281,"freeborn, minnesota"
19717,"freestone, texas"
47839,"fremont, colorado"
13099,"fremont, idaho"
6960,"fremont, iowa"
39261,"fremont, wyoming"
999101,"fresno, california"
20306,"frio, texas"
2627,"frontier, nebraska"
12477,"fulton, arkansas"
1063937,"fulton, georgia"
34340,"fulton, illinois"
19974,"fulton, indiana"
5969,"fulton, kentucky"
53383,"fulton, new york"
42126,"fulton, ohio"
14530,"fulton, pennsylvania"
4676,"furnas, nebraska"
45660,"gadsden, florida"
21513,"gage, nebraska"
21492,"gaines, texas"
6347,"galax, virginia"
4828,"gallatin, illinois"
8869,"gallatin, kentucky"
114434,"gallatin, montana"
29898,"gallia, ohio"
342139,"galveston, texas"
1837,"garden, nebraska"
60061,"garfield, colorado"
1258,"garfield, montana"
1969,"garfield, nebraska"
61056,"garfield, oklahoma"
5051,"garfield, utah"
2225,"garfield, washington"
99386,"garland, arkansas"
17666,"garrard, kentucky"
29014,"garrett, maryland"
27711,"garvin, oklahoma"
6229,"garza, texas"
14706,"gasconade, missouri"
224529,"gaston, north carolina"
11562,"gates, north carolina"
31670,"geary, kansas"
93649,"geauga, ohio"
18112,"gem, idaho"
405813,"genesee, michigan"
57280,"genesee, new york"
26271,"geneva, alabama"
6571,"gentry, missouri"
24500,"george, mississippi"
62680,"georgetown, south carolina"
33659,"gibson, indiana"
49133,"gibson, tennessee"
54018,"gila, arizona"
18582,"gilchrist, florida"
29464,"giles, tennessee"
16720,"giles, virginia"
26988,"gillespie, texas"
1912,"gilliam, oregon"
31369,"gilmer, georgia"
7823,"gilmer, west virginia"
6243,"gilpin, colorado"
13753,"glacier, montana"
13811,"glades, florida"
25449,"gladwin, michigan"
2971,"glascock, georgia"
1409,"glasscock, texas"
28393,"glenn, california"
291636,"gloucester, new jersey"
37348,"gloucester, virginia"
85292,"glynn, georgia"
